desc,locid,tillageSelection,coverCrop
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz70,50af8f5f-2e0c-3d3d-a886-d4590c14c0d4,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz81,f5a074f1-a980-39d1-a34a-6eb533dcfe75,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz26,8e649e1a-2a84-3f57-93c5-8e3aaa561b4c,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz27,3a56877e-8cd2-3f08-8e80-733073071e4d,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz82,069b5075-4ee8-31cd-a184-0dfb97b3b123,Conservation,False
mppf.sp.a_andersons.20240314230459084_sGI-XSKutvgz,f0e2e306-1312-32e5-b3a0-4f0108c696ea,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz44,d47526f5-2104-394d-b23d-5ee169667222,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz31,3f1a3315-4e94-30ca-b32c-22b4ebd3a384,Conservation,False
mppf.sp.a_andersons.20240314231446836_gA5SJehk6QYz,0af5ef02-2ad5-3a1c-9a3f-a74946e40050,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz67,0fa1985c-9aaf-3894-a82b-a71156b4da2d,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz42,39e243e7-295e-3183-9179-c07a11e1b5e5,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz29,439c0a84-456e-3bed-9198-6dd709fca2eb,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz24,634fff0b-ad60-3a6c-ac1b-888054e40722,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz41,3e211b6b-7f4e-35b5-a106-6b81d58b4aaf,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz54,e937f3b0-90bc-3907-8f6c-1ffbf0b267a8,Conservation,False
mppf.sp.a_andersons.u20240313131649371_CsGUSNZKsDcz34,b0da1414-2f47-33ef-8bc4-921cba28bfbe,Conservation,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz4,7a4aa065-b4ca-3903-9740-158b37507d95,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz11,cafc8140-201f-342a-bf77-1967eadaaf2c,Conservation,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz5,2766d5b9-e6a9-3300-92da-bc7e17efebf2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240306131029734_BHVPdm0qFLUz3,380cb456-e239-31f4-ab51-ba2da62a5442,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz113,43cad1e4-819e-380c-91c8-13a9f76101ed,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz112,57e3b3c0-ace0-38ce-a672-48b6c8be8250,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz106,ff2af1cb-5d86-3d56-bafa-6ceaccb9769f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz178,12630739-f193-373e-b8d3-0a459d638515,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz123,a7e8a94b-3465-3914-8499-e2ffc627c442,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz20,983a2373-8851-3809-8506-04f30149c7f1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz162,c63f7d43-d602-3ae6-9ff2-c7d369336d14,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz27,db4164ac-6b55-3a66-80d3-86ede9897461,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz196,8fb6c329-ac4e-31e7-98bf-c4b8f42c553e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz117,1f1949bf-b784-3bd6-8caa-dc3203c9f1c8,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz222,5d589751-fae1-3cdb-a672-0cff412a310d,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz158,d4b49e1c-a1c9-3090-adb4-490b42997915,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz132,d97713b3-9b45-30c4-b0b9-5ffc3b3c0594,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz176,412addb7-77ee-31b5-9b15-9781d331ce4e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz181,34cfd609-6d30-3b6e-988f-2f4c698c2a55,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz138,3ecc0403-22d4-37da-a811-11aa06bc1ed1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz145,50ac8ec6-b173-3efe-9c57-7a1409c2dafb,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz198,949d27cf-3c14-39e5-be81-cf70a9e3f983,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz185,941bed1a-1731-3878-956c-c0b33464c148,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz136,754d6079-e815-30cc-b1c0-12f45ff8aa50,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz118,c631c8b0-ab7e-3af5-9312-ff4135e095bd,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz152,24af4034-1227-37ae-9a53-63c9d2b606ba,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz12,72af8cf0-9d18-3246-a734-5b7636342ca9,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz17,a54e0936-ead0-3018-821e-820b7e7e8a3e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz179,fb5dc301-4ad1-34f0-99be-cda147e1c6c3,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz174,e4af9ba9-3254-340f-9ab9-3e100dde5cca,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz21,c6928244-2714-3d22-88e2-d1e2027fd59b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz130,71e0c2df-2959-3020-b92d-7c26759a67da,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz127,f36cc18a-3eed-3324-adf1-b2e1e4fc8248,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz29,ae3f4c15-f384-3c44-86a4-f26c3ab6c95c,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz14,8f2d1c9a-8af6-3358-a936-2668484706d7,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz25,76c34b74-2345-3c0b-b85a-812d03265322,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz171,835e7ed7-93ea-3d5b-9793-30ba7ebbe9a7,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz148,af37f6bf-09a5-39ee-adc1-92443be53223,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz55,1a6bff9c-c0a6-341a-9948-09d25135fc67,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz76,7bc7b73a-e6f2-3bfd-b5af-5d25804f306b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz210,4fff4fda-ee87-37a7-8f4f-5d6285e8f0d3,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz141,57294b6c-04f2-3e03-93cb-6f5bde6d8ba4,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz189,ae78365e-7db6-3446-883d-0b7520374ab0,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz47,593bb9f0-8c00-356b-ae8f-cff578d3786c,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz225,676a700c-3029-34b7-b52c-5b4052df1c62,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz211,45caf037-8c1d-376e-9583-cf821103c9b6,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz39,705c875e-92f1-3130-b1c7-2fdcd05f23b4,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz6,c4700d5d-36a8-3906-a82c-a11d6c8c21a2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz30,9b9639ab-bd9d-3fb3-94f1-e1ec9c80055e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz199,15cf037a-be41-3be5-b3e3-03a6ce452aff,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz214,bc3c832e-680e-368f-bb20-dba37ea4b57b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz192,c93b720a-2c52-366c-ae4d-93a460a1843b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz220,454a56c5-6ecb-3b51-8bdf-c069fb5e00e4,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz37,b3122f93-6f44-362e-8ffb-e076bedd3f6b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz224,f5432bca-4926-344c-942b-c0114552a99c,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz205,13d097a0-6444-3574-9e20-dbcb7639f837,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz49,0a0d5468-7c6e-3397-a905-9e7f9cba5f6e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz213,fe50925a-5cce-33df-a1ab-387ef5c393f1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz77,2776da94-e0bc-355f-8856-4d9c88bc7f3d,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz193,c6dbd84a-d280-339a-b34a-0ca4f1bb50fa,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz78,1a5c3ca8-32b3-3f39-95ec-24895725cb62,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz215,4b0ea881-c431-38a0-bfb2-0a48c43a75ab,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz79,9bed29f7-496a-3514-a934-8c0546205d5b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz45,670ce01b-f1d2-3d36-9a13-4570cb94c345,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz82,066bc4a6-9ef0-3011-b1ee-a1f9ee15caf1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz23,d49e42cc-8653-3bac-ba08-2c765125a7a3,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz18,825f7fc2-94be-346a-ad89-0cd8f7cb7cf2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz56,212a777c-8f5c-3ca8-972c-19a99dbbc7f5,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz24,4a3cbfee-3d97-33ae-8578-fedca0a5ba38,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz58,9ed8096f-b6bc-37ee-981d-57de3c581eba,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz64,43881d96-4429-3efe-957d-d93c8f3b4d58,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz89,2b18956b-203c-3846-a414-5ee00a4d26f7,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz80,38ee4745-58c7-3882-b7df-f1c9df4383d0,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz86,4c76d3d3-d2d8-3af3-80cf-ec2f449c8aa1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz88,57aac091-7e2b-350f-8b0c-92bbaa9a911a,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz72,dcdb388e-5cb8-37c9-a28a-245d04e69406,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz99,ab4948e6-cbbe-354d-bba6-82cd66bbf4a7,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz190,4dfa5513-f6d5-3389-9a75-1b1f273e385d,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz94,708aaf00-f480-3261-a1d4-f49878445bab,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz34,8f06850a-bc37-3280-8383-a2f2edc418bf,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz91,90ac9368-7c9e-3079-878f-4bdcefcdbdd4,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz95,e3c59ea2-f102-37e3-b438-a70335d160e2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240326114318457_oPiYPUnAk-kz221,e094b85b-1a01-34be-ba41-bad51f57bf0f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328172748976_eDD0004NVnwz3,74eb338e-b8d0-393a-a3a8-80a03e17e68f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328173204828_NXeir4-HcMYz1,e7d31f3e-e92c-3869-9467-6821e3e726d9,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328172748976_eDD0004NVnwz2,a042793c-8457-3e92-b127-485e7dda5378,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328173204828_NXeir4-HcMYz3,8caac75c-d6ec-357a-b309-8348328890e1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328172748976_eDD0004NVnwz1,2299a683-9557-3672-8a5d-7299b93a10bc,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328173204828_NXeir4-HcMYz2,c8eeba12-5d91-37ca-9728-3e6b1b7afc75,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328173204828_NXeir4-HcMYz4,225c0283-23de-3f69-b4eb-fa98a3d72a90,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz1,407b35b5-41e1-3652-b124-388dcbd5f447,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz2,4a09fac9-6cf1-3af8-8aa5-2352fafc466c,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz4,f0abab65-30fc-3a4c-89de-0a8c5d8f239e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz5,3a76a996-4be4-3f8f-b801-3a501bdfecb5,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz3,b80a0619-c8d6-3430-8df5-b9316ac6765f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174542129_r8IXZESor2sz6,28412274-d85e-33cf-b408-8d7d02fe2fb5,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328173031757_flOIlI_6SfYz1,6497b666-699d-325e-af0a-94d1a1bab830,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328175926294_y-GifcjLCLgz2,e8f552e8-6dc3-3fe9-a337-c6d9cd7ce343,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328175926294_y-GifcjLCLgz1,af13d72c-64f6-3a31-89ed-c0354e82b75d,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328180209236_gp5uJlEIiAAz2,d2011f08-9f43-33bd-8b40-034c7a809cd1,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328180913150_wj6wsmoQnKoz1,fde4a22b-59b1-375a-938b-73bc888a01b8,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328180512015_hQFCIB7chAYz1,07debd86-7d2e-3e26-84cb-d15a82db2d0a,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328180209236_gp5uJlEIiAAz1,130d6e64-1f3e-3100-abc4-ab5c20288593,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174830348_ielfvHyCefUz2,74b2609f-b3cc-3ee0-bec8-8ffd0e1e8597,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328175341537_h3lcSyv2-w0z1,8c411791-c2dd-3a83-b846-91d240160d40,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328174830348_ielfvHyCefUz1,1ec698af-557c-37a0-b00c-7efd137272ce,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328180913150_wj6wsmoQnKoz2,9abc8ff3-2dcb-34eb-9f78-b0460c407b91,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328181610077_baNC-FY9Sgoz1,bedc21ba-d663-3c0b-9ed5-1eadf1d731e8,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328181610077_baNC-FY9Sgoz2,2692f9ea-0719-389e-8651-e5c13fba3903,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240328181357483_ijz020igoLkz2,1ac19b12-cf69-3e40-9650-f34eb33b56bf,,False
mppf.sp.a_andersons.u20240328181357483_ijz020igoLkz1,ffd3f0f2-9609-31f7-ad97-b2f299c84edb,,False
mppf.sp.a_andersons.20240304223035832_F-SntqyMLO8z,9cb04844-d0f6-3216-9d93-1c3b3edd4e44,Conservation,False
mppf.sp.a_andersons.20241011151451323_fih1xcTMZsgz,c9b4cf44-44cd-3376-a35b-47e0ce007cc3,GrowerTillageImplemented,False
mppf.sp.a_andersons.20241011150955654_qCPqzg95o7cz,61bdeac6-7d1b-3441-ad20-a20985d86f87,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240302184925540_JWrXwi6u6iIz27,548ea691-8fe0-390f-be37-f4faffe667d9,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240227155204957_9ap6QQeu1Nkz56,68f12b8c-594a-3dc8-980e-4b18f736cac9,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240302184925540_JWrXwi6u6iIz32,466d917e-94d6-3b31-9084-589aed625399,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240302184925540_JWrXwi6u6iIz1,11bf972a-89bc-3a59-8095-65a277da6820,Conservation,False
mppf.sp.a_andersons.u20240308122214148_EUuxVGMoVb0z5,b455ae7c-6b90-3162-912b-6021e5c85321,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308122214148_EUuxVGMoVb0z2,cd67d38e-fc3e-3901-9b56-c40f11fdb2d6,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308122214148_EUuxVGMoVb0z4,cf9ec901-c45e-3eea-b252-6521f2edcafd,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308122214148_EUuxVGMoVb0z3,2332ddf1-c29b-3cb1-b090-25093fc98fd7,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz14,973a1ae6-7bce-3cf8-85fa-b59bb0a7236b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz18,799fd1d7-67c7-3318-a41e-b01560096e10,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz16,f228e96a-36d5-3ddc-ab71-d27299f7d649,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz12,e8d42875-190d-31f3-81cd-bd667b6a49a2,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz10,f4013bf0-ce76-3fab-8768-97e88981facc,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz20,b39bf81b-760b-3a90-8413-5dd2188dac04,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308200122859_zsT4CLXChA0z1,9f391ab5-f146-3715-a715-6e38a5965c4f,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz11,99df0f1e-c9f5-3490-be3f-390f4a086dfd,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz15,96c32416-436b-39eb-b367-e28338dc8d2e,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz19,68627f2f-3637-393d-8e94-ad68bab1e325,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202242047_CKR3zwLo_csz1,cb9bdbdd-658b-3710-8be3-6c0877164134,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308201957263_h_PDjhZhcJwz1,e9d101e1-227f-3dc8-b8fe-fb8e6def9727,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz13,0d20a353-d7bb-3624-8d1b-f8b078f41788,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz22,6a5ee985-054d-36c5-a31b-ee21de5ca1c0,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz23,a24edca8-af04-3ce3-8e8c-f991804cfd41,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz24,1d034a3a-6536-350f-8106-5c3fda8c7881,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz30,a9720f7b-af91-340b-b3c8-a21e89eb2183,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz26,17e55193-b662-3e55-a4bf-905882eaa2bc,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz25,ebaa1954-169d-3f7f-8257-328c02327e82,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz32,18000f3e-50bb-332e-98b2-fe1150a9da7b,GrowerTillageImplemented,False
mppf.sp.a_andersons.u20240308202446580_nLNvWWmjrkoz2,a29931ac-d024-3152-b909-9f0b24b7e785,GrowerTillageImplemented,False
