State(s),Facility /Supply Shed Name,Elevator or ethanol plant,Radius (miles),Address,Lat,Long
Michigan,Matamora,Grain elevator,50,"3822 SR 120, Metamora, OH 43540",41.71511,-83.93458
Michigan,Albion - Ethanol,Ethanol Plant,100,"26250 B Drive N, Albion, MI 49224",42.25809,-84.78852
Michigan,Oakley,Grain elevator,50,"310 W Third St, Oakley, MI 48649",43.14008,-84.17195
Michigan,Standish,Grain elevator,50,"4198 S Huron Rd, Standish, MI 48658",43.96201,-83.95875
Michigan,Auburn,Grain elevator,50,"315 N Auburn Rd, Auburn, MI 48611",43.60657,-84.06938
Michigan,Hemlock,Grain elevator,50,"485 S Hemlock Rd, Hemlock, MI 48626",43.40997,-84.229646
Western IA/IL,Clymers,Ethanol Plant,100,"3389 W CR 300 S, Logansport, IN 46947",40.721248,-86.439513
Western IA/IL,Delphi,Grain elevator,50,"3854 N Anderson Dr, Delphi, IN 46923",40.602745,-86.643112
Eastern IN,Greenville,Ethanol Plant,100,"5728 Sebring Warner Rd E, Greenville, OH 45331",40.080153,-84.591904
Eastern IN,Oakville,Grain elevator,50,"P.O. Box 205, 430 W Oakville Rd, Oakville, IN 47367",40.079213,-85.389209
Ohio,Maumee,Grain elevator,50,"515 Illinois Ave, Maumee, OH 43537",41.568443,-83.66735